Name,Wikipage,Award,Field,Year,Gender,Status
Peidong Yang,https://en.wikipedia.org/wiki/Peidong_Yang,Citation Laureate,Physics,2014,male,alive
Shoucheng Zhang,https://en.wikipedia.org/wiki/Shoucheng_Zhang,Citation Laureate,Physics,2014,male,alive
Paul Corkum,https://en.wikipedia.org/wiki/Paul_Corkum,Citation Laureate,Physics,2015,male,alive
Ferenc Krausz,https://en.wikipedia.org/wiki/Ferenc_Krausz,Citation Laureate,Physics,2015,male,alive
Deborah S. Jin,https://en.wikipedia.org/wiki/Deborah_S._Jin,Citation Laureate,Physics,2015,female,alive
Zhong Lin Wang,https://en.wikipedia.org/wiki/Zhong_Lin_Wang,Citation Laureate,Physics,2015,male,alive
Roger Y. Tsien,https://en.wikipedia.org/wiki/Roger_Y._Tsien,Citation Laureate,Chemistry,2008,male,alive
Charles M. Lieber,https://en.wikipedia.org/wiki/Charles_M._Lieber,Citation Laureate,Chemistry,2008,male,alive
Krzysztof Matyjaszewski,https://en.wikipedia.org/wiki/Krzysztof_Matyjaszewski,Citation Laureate,Chemistry,2009,male,alive
Michael Grätzel,https://en.wikipedia.org/wiki/Michael_Gr%C3%A4tzel,Citation Laureate,Chemistry,2009,male,alive
Jacqueline Barton,https://en.wikipedia.org/wiki/Jacqueline_Barton,Citation Laureate,Chemistry,2009,female,alive
Bernd Giese,https://en.wikipedia.org/wiki/Bernd_Giese,Citation Laureate,Chemistry,2009,male,alive
Gary Schuster,https://en.wikipedia.org/wiki/Gary_Schuster,Citation Laureate,Chemistry,2009,male,alive
Patrick O. Brown,https://en.wikipedia.org/wiki/Patrick_O._Brown,Citation Laureate,Chemistry,2010,male,alive
Omar M. Yaghi,https://en.wikipedia.org/wiki/Omar_M._Yaghi,Citation Laureate,Chemistry,2010,male,alive
Stephen J. Lippard,https://en.wikipedia.org/wiki/Stephen_J._Lippard,Citation Laureate,Chemistry,2010,male,alive
Martin Karplus,https://en.wikipedia.org/wiki/Martin_Karplus,Citation Laureate,Chemistry,2011,male,alive
Allen J. Bard,https://en.wikipedia.org/wiki/Allen_J._Bard,Citation Laureate,Chemistry,2011,male,alive
Jean Fréchet,https://en.wikipedia.org/wiki/Jean_Fr%C3%A9chet,Citation Laureate,Chemistry,2011,male,alive
Louis E. Brus,https://en.wikipedia.org/wiki/Louis_E._Brus,Citation Laureate,Chemistry,2012,male,alive
