First_Name Middle_Name,Family_Name,Institution,Category
Neil M,Donahue,1,Geosciences
Ignacio E,Grossmann,1,Computer Science
Rongchao,Jin,1,Chemistry
Gregory V,Lowry,1,Environment/Ecology
Krzysztof,Matyjaszewski,1,Chemistry
Subra,Suresh,1,Materials Science
Liming,Dai,1,Chemistry
Joseph R,Calabrese,1,Psychiatry/Psychology
Yngve,Falck-Ytter,1,"Social Sciences, general"
Idit,Zehavi,1,Space Science
Eun Seong,Lee,1,Pharmacology & Toxicology
Veronique,Preat,1,Pharmacology & Toxicology
Marcel B,Roberfroid,1,Agricultural Sciences
Pedro W,Crous,1,Plant & Animal Science
Anna A,Shvedova,1,Pharmacology & Toxicology
Sajal K,Chattopadhyay,1,"Social Sciences, general"
Yves,Balkanski,1,Geosciences
Emanuele,Daddi,1,Space Science
Philippe,Ciais,1,Geosciences
Valerie,Masson-Delmotte,1,Geosciences
Emeric,Le Floc'h,1,Space Science
Francisco A,Tomas-Barberan,1,Agricultural Sciences
Richard N,Bergman,1,Molecular Biology & Genetics
Daniel S,Berman,1,Clinical Medicine
Jerome I,Rotter,1,Molecular Biology & Genetics
Robin J,Law,1,Environment/Ecology
John,List,1,Economics & Business
Aaron,Catlin,1,"Social Sciences, general"
Riccardo,Valentini,1,Environment/Ecology
Yann H,Kerr,1,Engineering
Anders,Lyngfelt,1,Engineering
Tobias,Mattisson,1,Engineering
Jens,Nielsen,1,Biology & Biochemistry
Peng,Wang,1,Chemistry
Stefan D,Anker,1,Clinical Medicine
Gerd R,Burmester,1,Clinical Medicine
Vojtech,Jarosik,1,Environment/Ecology
Petr,Widimsky,1,Clinical Medicine
Kazuki,Saito,1,Plant & Animal Science
Yoshihisa,Shitara,1,Pharmacology & Toxicology
Pieter J,de Jong,1,Molecular Biology & Genetics
Hakon H,Hakonarson,1,Molecular Biology & Genetics
Nader,Rifai,1,Clinical Medicine
Clifford J,Woolf,1,Neuroscience & Behavior
Hung,Nguyen-Xuan,1,Computer Science
Chang-gong,Liu,1,Clinical Medicine
Poom,Kumam,1,Mathematics
