Kazuki Saito,https://en.wikipedia.org/wiki/Kazuki_Saito,Plant & Animal Science
Jun Hu,https://en.wikipedia.org/wiki/Jun_Hu,Engineering
Jun Lin,https://en.wikipedia.org/wiki/Jun_Lin,Materials Science
Guanrong Chen,https://en.wikipedia.org/wiki/Guanrong_Chen,Engineering
Guanrong Chen,https://en.wikipedia.org/wiki/Guanrong_Chen,Mathematics
Stanislas Dehaene,https://en.wikipedia.org/wiki/Stanislas_Dehaene,Psychiatry/Psychology
Jean-Marie Tarascon,https://en.wikipedia.org/wiki/Jean-Marie_Tarascon,Materials Science
Sandro Galea,https://en.wikipedia.org/wiki/Sandro_Galea,"Social Sciences, general"
Michal Lipson,https://en.wikipedia.org/wiki/Michal_Lipson,Physics
Paul McEuen,https://en.wikipedia.org/wiki/Paul_McEuen,Physics
Graeme Moad,https://en.wikipedia.org/wiki/Graeme_Moad,Chemistry
Brian Walker,https://en.wikipedia.org/wiki/Brian_Walker,"Social Sciences, general"
Francis Martin,https://en.wikipedia.org/wiki/Francis_Martin,Plant & Animal Science
Shuji Ogino,https://en.wikipedia.org/wiki/Shuji_Ogino,Clinical Medicine
Rafael La Porta,https://en.wikipedia.org/wiki/Rafael_La_Porta,Economics & Business
Michael Berk,https://en.wikipedia.org/wiki/Michael_Berk,Psychiatry/Psychology
Leena Peltonen,https://en.wikipedia.org/wiki/Leena_Peltonen,Molecular Biology & Genetics
Kari Stefansson,https://en.wikipedia.org/wiki/Kari_Stefansson,Molecular Biology & Genetics
Cees Dekker,https://en.wikipedia.org/wiki/Cees_Dekker,Physics
Matthias Schwab,https://en.wikipedia.org/wiki/Matthias_Schwab,Pharmacology & Toxicology
Yury Gogotsi,https://en.wikipedia.org/wiki/Yury_Gogotsi,Materials Science
Tim Bollerslev,https://en.wikipedia.org/wiki/Tim_Bollerslev,Economics & Business
John Graham,https://en.wikipedia.org/wiki/John_Graham,Economics & Business
Campbell Harvey,https://en.wikipedia.org/wiki/Campbell_Harvey,Economics & Business
Dan Ariely,https://en.wikipedia.org/wiki/Dan_Ariely,Economics & Business
Ingrid Daubechies,https://en.wikipedia.org/wiki/Ingrid_Daubechies,Mathematics
Mike West,https://en.wikipedia.org/wiki/Mike_West,Mathematics
Philippe Horvath,https://en.wikipedia.org/wiki/Philippe_Horvath,Microbiology
He Tian,https://en.wikipedia.org/wiki/He_Tian,Chemistry
Christophe Caloz,https://en.wikipedia.org/wiki/Christophe_Caloz,Engineering
Jean-Louis Vincent,https://en.wikipedia.org/wiki/Jean-Louis_Vincent,Clinical Medicine
Henk Volberda,https://en.wikipedia.org/wiki/Henk_Volberda,Economics & Business
Ruedi Aebersold,https://en.wikipedia.org/wiki/Ruedi_Aebersold,Biology & Biochemistry
Tilman Esslinger,https://en.wikipedia.org/wiki/Tilman_Esslinger,Physics
